Entity,Code,Year,Global plastics production (million tonnes) (tonnes),GDP thousand
World,OWID_WRL,1960,8000000,450.4666739
World,OWID_WRL,1961,9000000,462.3576439
World,OWID_WRL,1962,11000000,488.1055504
World,OWID_WRL,1963,13000000,514.711204
World,OWID_WRL,1964,15000000,552.512292
World,OWID_WRL,1965,17000000,589.758994
World,OWID_WRL,1966,20000000,626.6180813
World,OWID_WRL,1967,23000000,653.2554258
World,OWID_WRL,1968,27000000,690.6729034
World,OWID_WRL,1969,32000000,744.8710787
World,OWID_WRL,1970,35000000,802.2752664
World,OWID_WRL,1971,38000000,868.0622393
World,OWID_WRL,1972,44000000,981.1356993
World,OWID_WRL,1973,51000000,1172.417977
World,OWID_WRL,1974,52000000,1326.256104
World,OWID_WRL,1975,46000000,1449.549939
World,OWID_WRL,1976,54000000,1549.386466
World,OWID_WRL,1977,59000000,1722.30545
World,OWID_WRL,1978,64000000,1992.633702
World,OWID_WRL,1979,71000000,2274.930424
World,OWID_WRL,1980,70000000,2516.14233
World,OWID_WRL,1981,72000000,2536.292019
World,OWID_WRL,1982,73000000,2469.84708
World,OWID_WRL,1983,80000000,2483.675328
World,OWID_WRL,1984,86000000,2533.155146
World,OWID_WRL,1985,90000000,2616.358904
World,OWID_WRL,1986,96000000,3044.83186
World,OWID_WRL,1987,104000000,3406.729459
World,OWID_WRL,1988,110000000,3749.071456
World,OWID_WRL,1989,114000000,3863.748278
World,OWID_WRL,1990,120000000,4268.785387
World,OWID_WRL,1991,124000000,4449.307804
World,OWID_WRL,1992,132000000,4653.192823
World,OWID_WRL,1993,137000000,4657.247499
World,OWID_WRL,1994,151000000,4929.352526
World,OWID_WRL,1995,156000000,5398.858173
World,OWID_WRL,1996,168000000,5440.947779
World,OWID_WRL,1997,180000000,5345.923383
World,OWID_WRL,1998,188000000,5258.467557
World,OWID_WRL,1999,202000000,5381.157949
World,OWID_WRL,2000,213000000,5483.974348
World,OWID_WRL,2001,218000000,5380.681184
World,OWID_WRL,2002,231000000,5516.217183
World,OWID_WRL,2003,241000000,6113.762559
World,OWID_WRL,2004,256000000,6799.522593
World,OWID_WRL,2005,263000000,7271.416494
World,OWID_WRL,2006,280000000,7777.192958
World,OWID_WRL,2007,295000000,8653.498542
World,OWID_WRL,2008,281000000,9374.915072
World,OWID_WRL,2009,288000000,8779.886823
World,OWID_WRL,2010,313000000,9513.617798
World,OWID_WRL,2011,325000000,10448.68227
World,OWID_WRL,2012,338000000,10559.19627
World,OWID_WRL,2013,352000000,10723.60666
World,OWID_WRL,2014,367000000,10882.67516
